name,slug,category,subcategory,description,mrp,price,sku,stock,image_urls
LILY,lily,Fragrant Plants,,Fragrant plant,59900,39900,FRG-213,25,
MADHUMALTI,madhumalti,Fragrant Plants,,Fragrant plant,59900,39900,FRG-214,25,
MARYGOLD,marigold,Fragrant Plants,,Fragrant plant,59900,39900,FRG-215,25,
MINT,mint,Fragrant Plants,,Fragrant plant,59900,39900,FRG-216,25,
NIGHT JASMINE (PARIJAT),night-jasmine-parijat,Fragrant Plants,,Fragrant plant,59900,39900,FRG-217,25,
RAJNIGANDHA,rajnigandha,Fragrant Plants,,Fragrant plant,59900,39900,FRG-218,25,
RANJAI,ranjai,Fragrant Plants,,Fragrant plant,59900,39900,FRG-219,25,
ROSEMARY,rosemary,Fragrant Plants,,Fragrant plant,59900,39900,FRG-220,25,
ROYAL JASMINE (JUI),royal-jasmine-jui,Fragrant Plants,,Fragrant plant,59900,39900,FRG-221,25,
SWEET ALYSSUM,sweet-alyssum,Fragrant Plants,,Fragrant plant,59900,39900,FRG-222,25,
SWEET PEA,sweet-pea,Fragrant Plants,,Fragrant plant,59900,39900,FRG-223,25,
THYME (AJWAIN),thyme-ajwain,Fragrant Plants,,Fragrant plant,59900,39900,FRG-224,25,
TULSI,tulsi,Fragrant Plants,,Fragrant plant,59900,39900,FRG-225,25,

ALOE-VERA,aloe-vera,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-200,20,
BANANA VINE,banana-vine,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-201,20,
BLUE FINGERS,blue-fingers,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-202,20,
BUNNY EARS CACTUS,bunny-ears-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-203,20,
CAMPFIRE,campfire,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-204,20,
CARNATION,carnation-succulent,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-205,20,
CHRISTMAS CACTUS,christmas-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-206,20,
DOMINO CACTUS,domino-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-207,20,
DONKEY'S TAIE,donkeys-taie,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-208,20,
ECHEVERIA LOLA BLACK PRINCE,echeveria-lola-black-prince,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-209,20,
FAIRY CASTLE CACTUS,fairy-castle-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-210,20,
